"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"responsable maintenance mécanique |","métallurgie, sidérurgie","production, maintenance, qualité","expert (10 ou plus)","bac +2","cdi","non","el jadida"
"contrôleur financier (h/f) |","electricité, eau, gaz, nucléaire, énergie","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"segment leader (responsable de production) |","automobile, matériels de transport, réparation","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"comptable |","agroalimentaire","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","agadir"
"chargé rh & communication |","éducation, formation","rh, formation","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"automaticien |","equipements mécaniques, machines","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","agadir"
"commercial terrain b2b à tanger |","marketing, communication, médias","commercial, vente","débutant (de 1 à 3 ans)","bac +2","autre","non","tanger"
"contrôleur de gestion |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé(e) de clientèle - centre d'appel |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"gestionnaire adv |","services autres","commercial, vente","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"vendeuse dans une chocolaterie (f) |","tourisme, loisirs","commercial, vente","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"nurse |","automobile, matériels de transport, réparation","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +3","cdi","non","tanger"
"chargé(e) du marketing digital (h/f) |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","rabat"
"procurement support specialist |","automobile, matériels de transport, réparation","achats","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"senior network engineer |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +4","cdi","hybride","rabat"
"chargé(e) de clientèle - centre d'appel |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"manager travaux (project manager) |","services autres","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"stage pré-embauche en expertise comptable |","conseil, audit, comptabilité","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"manager second œuvre |","services autres","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"technicien mécanicien /hydraulicien |","métallurgie, sidérurgie","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","el jadida"
"assistant(e) en programmation musicale (h/f) |","marketing, communication, médias","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","rabat"
"chargé(e) de clientèle - centre d'appel |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"conseiller clientèle - expert(e) en relations client |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"manager cfa (courant faible) |","services autres","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"comptable fournisseurs expérimenté(e) |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"consultant cloud gcp & devops (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"manager espace vert (paysagiste) |","services autres","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"architecte cloud data/big data expérimenté (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","expert (10 ou plus)","bac +5 et plus","cdi","hybride","rabat"
"gestionnaire de paie expérimenté (e) |","centres d´appel, hotline, call center","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"manager des systemes fluides |","services autres","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"maintenance method engineer |","automobile, matériels de transport, réparation","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"project control manager _ uranext |","btp, construction","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"corelab engineer |","éducation, formation","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"construction manager _ uranext |","btp, construction","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable maintenance mécanique |","métallurgie, sidérurgie","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","el jadida"
"conseiller clientèle - expert(e) en relations client |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"contrôleur de gestion expérimenté (h/f) |","centres d´appel, hotline, call center","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"electrical technician |","electricité, eau, gaz, nucléaire, énergie","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +2","cdi","non","benguérir"
"coordinateur multi-technique |","services autres","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"comptable expérimenté (h/f) |","centres d´appel, hotline, call center","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"conseiller clientèle - expert(e) en relations client |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"controleur de gestion opérationnel |","agroalimentaire","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"eds engineer |","automobile, matériels de transport, réparation","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","tanger"
"manager équipements specifiques (cuisines et blanchisserie) |","éducation, formation","métiers du btp","senior (de 5 à 10 ans)","bac +2","cdi","non","benguérir"
"responsable affretement transport |","transports, logistique, services postaux","transport, logistique","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"responsable laboratoire |","automobile, matériels de transport, réparation","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","cdi","non","kénitra"
"responsable transformation organisationnelle h/f |","éducation, formation","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","non","rabat"
"support analyst anglophone |","informatique, ssii, internet","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","casablanca"
"comptable (h/f) |","distribution, vente, commerce de gros","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +2","cdi","non","all"
"chargé(e) de clientèle - pôle relation client |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"géomaticien / spécialiste sig |","services autres","métiers du btp","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","taliouine"
"assistante de direction |","distribution, vente, commerce de gros","management, direction générale","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"expert performance controller |","aéronautique, navale","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur systèmes |","marketing, communication, médias","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"tech lead dot net (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","fès"
"programmeur tournage |","aéronautique, navale","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"comptable |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"quality systems expert |","automobile, matériels de transport, réparation","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"data scientist |","éducation, formation","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","rabat"
"social media manager h/f |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable d'agence - zone bouskoura |","intérim, recrutement","commercial, vente","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"technicien support informatique |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"business development manager |","éducation, formation","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","rabat"
"hydraulicien engins |","btp, construction","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","taliouine"
"responsable maintenance electrique |","services autres","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","tétouan"
"facility manager h/f |","immobilier, architecture, urbanisme","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"chaudronnier engins |","btp, construction","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","taliouine"
"responsable réseaux sociaux (community manager) -","édition, imprimerie","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"project management officer 1 |","éducation, formation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"chargé(e) de clientèle - centre d'appel |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"motoriste engins roulants |","btp, construction","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","taliouine"
"concepteur développeur python (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"comptable |","services autres","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"responsable préscription (h/f) |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"chargé.e de service human capital - (h/f) |","services autres","rh, formation","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","casablanca"
"electricien engins |","btp, construction","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","taliouine"
"technico-commercial terrain - secteur bâtiment / distribution (h/f) |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"stage en conseil - organisation & transformation f/h |","conseil, audit, comptabilité","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","hybride","casablanca"
"chef d’atelier maintenance matériels roulants |","btp, construction","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +2","cdi","non","taliouine"
"directeur commercial en immobilier - marrakech |","immobilier, architecture, urbanisme","commercial, vente","expert (10 ou plus)","bac +5 et plus","cdi","non","marrakech"
"supply chain technician (bac+2/bac +3) f/h |","import, export","transport, logistique","fraichement diplômé","bac +3","autre","hybride","fès"
"stagiaire en conseil - rewards & talent (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","hybride","casablanca"
"agent bureau de méthodes maintenance engins |","btp, construction","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","taliouine"
"ingénieur de production / ordonnancement confirmé/senior (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"comptable confirmé |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","meknès"
"inspecteur mécanique engins |","btp, construction","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","taliouine"
"senior rpa blue prism developer |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +3","cdi","hybride","rabat"
"data engineer pyspark / aws confirmé/senior (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chargé de conception et digital learning |","banque, assurance, finances","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","rabat"
"stagiaire finance & transformation (h/f) |","banque, assurance, finances","gestion, comptabilité, finance","fraichement diplômé","bac +4","stage","hybride","casablanca"
"responsable des achats |","btp, construction","achats","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"risk manager junior |","éducation, formation","commercial, vente","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"hr business partner sav junior |","automobile, matériels de transport, réparation","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"stagiaire en comptabilité |","conseil, audit, comptabilité","gestion, comptabilité, finance","fraichement diplômé","bac +3","stage","non","el jadida"
"scientist in material design for co2 capture and storage. 2 |","éducation, formation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"chef département rh de proximité |","services autres","rh, formation","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","rabat"
"spot sales manager |","transports, logistique, services postaux","transport, logistique","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"stage en testing (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","stage","hybride","casablanca"
"responsable de développement rh |","métallurgie, sidérurgie","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","el jadida"
"technicien laboratoire maintenance |","éducation, formation","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","benguérir"
"freight forwarders |","transports, logistique, services postaux","transport, logistique","fraichement diplômé","bac +3","cdi","non","témara"
"chargé(e) de circularisation |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +3","autre","non","casablanca"
"consultant en financement de l’innovation - cir (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"comptable senior |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +4","cdi","non","rabat"
"chargé(e) d'études académiques |","éducation, formation","commercial, vente","junior (de 3 à 5 ans)","qualification avant bac","cdi","non","benguérir"
"auditeur interne senior |","éducation, formation","commercial, vente","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"ingénieur de production (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"service delivery officer ( salesforce) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"responsable ressources humaines |","services autres","rh, formation","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé(e) de recrutement et d’intégration bilingue |","télécom","métiers des services","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"ingénieur sirh |","banque, assurance, finances","rh, formation","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"planificateur |","btp, construction","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdd","non","dakhla"
"chargé(e) de système d'information h/f |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","non","salé"
"ingénieur d'exploitation téléphonie n2 (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"responsable maintenance |","agroalimentaire","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"category manager - pièces de rechange automobile |","import, export","achats","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé d'affaires entreprises |","banque, assurance, finances","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"superviseur cuisine |","tourisme, loisirs","tourisme, hôtellerie, restauration","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"assistante achat (mission de 3 mois) |","services autres","achats","débutant (de 1 à 3 ans)","bac +5 et plus","intérim","non","casablanca"
"ingénieur audit interne |","papier, bois, caoutchouc, plastique, verre, tabac","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","fès"
"qa automation fullstack |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"responsable d'atelier chargé des ventes à bord |","luxe, cosmétiques","marketing, communication","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé d'affaires entreprises |","banque, assurance, finances","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","rabat"
"stagiaire en développement php (h/f) - casablanca |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","stage","hybride","casablanca"
"transmission consultant |","télécom","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"chief financial officer / directeur financier anglophone |","services autres","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","non","casablanca"
"comptable confirmé |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"business analyst pricing (h/f) |","distribution, vente, commerce de gros","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"stagiaire ingénieur ia (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","stage","non","casablanca"
"data engineer sénior - azure databricks & pyspark (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","tanger"
"leader technique talend (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +4","cdi","hybride","rabat"
"comptable confirmé |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","kénitra"
"responsable ordonnancement et planification - agadir |","aéronautique, navale","transport, logistique","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"stagiaire en développement java (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","stage","non","casablanca"
"anglophone customer service advisors for a high-end project |","centres d´appel, hotline, call center","métiers des services","fraichement diplômé","bac","cdi","non","fès"
"animateur commercial (h/f) |","agriculture, pêche, aquaculture","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"cadre commercial |","textile, habillement, cuir, chaussures","commercial, vente","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"comptable confirmé |","conseil, audit, comptabilité","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","non","dakhla"
"stagiaires aéronautique/automobile/ferroviaire -pfe 2025 |","aéronautique, navale","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"chargé (e) de recrutement bilingue (franco/anglo) |","centres d´appel, hotline, call center","rh, formation","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"dessinateur projeteur - marrakech |","immobilier, architecture, urbanisme","métiers du btp","senior (de 5 à 10 ans)","bac +3","cdi","non","marrakech"
"data scientist |","marketing, communication, médias","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"technicien mécanicien engins |","btp, construction","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","taliouine"
"stagiaires rh/recrutement/finance/achat -pfe 2025 (casablanca & tanger) |","services autres","rh, formation","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"responsable achats - direction des achats |","santé, pharmacie, hôpitaux, équipements médicaux","achats","expert (10 ou plus)","bac +5 et plus","cdi","non","rabat"
"stagiaires ict-pfe 2025 |","informatique, ssii, internet","informatique, nouvelles technologies","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"customer success consultant |","services autres","marketing, communication","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"technicien(ne) environnement |","métallurgie, sidérurgie","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","taliouine"
"coordinatrice communication |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +5 et plus","intérim","non","casablanca"
"project manager certifié pmp |","marketing, communication, médias","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"concepteurs faisceaux ehi/eha (h/f) |","automobile, matériels de transport, réparation","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","tanger"
"chargé système d'information - si |","télécom","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","non","agadir"
"chargé de développement ee |","automobile, matériels de transport, réparation","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"magasinier |","btp, construction","transport, logistique","débutant (de 1 à 3 ans)","bac +2","cdi","non","taliouine"
"project manager en r&d |","éducation, formation","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"technico-commercial (en chimie/parachimie) |","chimie, pétrochimie, matières premières, mines","commercial, vente","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"conducteur machine impression |","papier, bois, caoutchouc, plastique, verre, tabac","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac","cdi","non","fès"
"ingénieur qa automation (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","expert (10 ou plus)","bac +5 et plus","cdi","oui","casablanca"
"equipment engineer |","equipements mécaniques, machines","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +3","cdi","non","nador"
"juriste |","conseil, audit, comptabilité","rh, formation","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","benguérir"
"ingénieur études et développement java backend |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"ingénieur qa data (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","expert (10 ou plus)","bac +5 et plus","cdi","oui","casablanca"
"production planner |","distribution, vente, commerce de gros","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","nador"
"technicien en électromécanique |","agroalimentaire","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdd","non","el jadida"
"responsable service garanties internationales |","banque, assurance, finances","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","hybride","casablanca"
"infographiste |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +2","cdi","non","tanger"
"administrateur systèmes expérimenté(e) |","conseil, audit, comptabilité","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chef de projet cybersécurité |","banque, assurance, finances","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"hr business partner |","métallurgie, sidérurgie","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"qualifieur (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"business developement manager - secteur it |","informatique, ssii, internet","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé(e) d'import bilingue (français-anglais) |","services autres","transport, logistique","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur informatique - technico- commercial |","informatique, ssii, internet","commercial, vente","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"contrôleur de gestion |","agroalimentaire","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","agadir"
"tech lead java/angular |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"responsable commercial grands comptes - nouvelles technologies |","informatique, ssii, internet","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"technicien maintenance |","aéronautique, navale","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"contrôleur de gestion junior (h/f) |","services autres","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"développeur java/angular sénior |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"technicien helpdesk polonais |","informatique, ssii, internet","informatique, nouvelles technologies","fraichement diplômé","bac +2","cdi","hybride","el jadida"
"responsable commercial de marque - secteur it |","marketing, communication, médias","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable qhse |","automobile, matériels de transport, réparation","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable/ingénieur maintenance engins roulants |","btp, construction","production, maintenance, qualité","expert (10 ou plus)","bac +5 et plus","cdi","non","taliouine"
"hse manager |","centres d´appel, hotline, call center","rh, formation","débutant (de 1 à 3 ans)","bac +4","cdi","non","casablanca"
"stagiaire infographiste |","marketing, communication, médias","métiers des services","débutant (de 1 à 3 ans)","bac +2","stage","non","rabat"
"gestionnaire de stock |","agroalimentaire","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdi","non","agadir"
"agent en back office francophone sav |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +3","autre","non","casablanca"
"responsable département recouvrement et contentieux |","banque, assurance, finances","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"conseiller commercial - matériel et solutions informatiques |","informatique, ssii, internet","commercial, vente","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"référent technique |","éducation, formation","informatique, nouvelles technologies","junior (de 3 à 5 ans)","autodidacte","cdi","non","safi"
"chargé (e) de la trésorerie |","agroalimentaire","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"développeur android sénior (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","oui","casablanca"
"ingénieur avant vente - systèmes et réseaux |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"architecte |","immobilier, architecture, urbanisme","métiers du btp","fraichement diplômé","bac +5 et plus","cdi","non","casablanca"
"responsable secteur |","chimie, pétrochimie, matières premières, mines","commercial, vente","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"chef de projet (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","expert (10 ou plus)","bac +5 et plus","cdi","hybride","fès"
"cadre marketing et communication (h/f) |","distribution, vente, commerce de gros","marketing, communication","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable approvisionnement |","agroalimentaire","transport, logistique","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"comptable sénior h/f |","services autres","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","berrechid"
"développeur ios sénior (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","expert (10 ou plus)","bac +5 et plus","cdi","oui","casablanca"
"chargé(e) des ressources humaines site |","métallurgie, sidérurgie","rh, formation","junior (de 3 à 5 ans)","bac +4","cdi","non","taliouine"
