"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"team manager bilingue (ang/fr) |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","rabat"
"agent support n1/n2 (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","fès"
"support télécom |","télécom","informatique, nouvelles technologies","fraichement diplômé","bac +5 et plus","cdi","hybride","rabat"
"consultant senior en excellence opérationnelle et performance industrielle & logistique |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable technique en microbiologie |","agroalimentaire","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +3","cdi","non","mohammédia"
"agent support n1/n2 (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","casablanca"
"business analyst finance |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"assistante polyvalente |","centres d´appel, hotline, call center","management, direction générale","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"ingenieur en développement frontend angular/python |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chef de mission audit |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"direct materiel buyer |","automobile, matériels de transport, réparation","achats","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","rabat"
"administrative assistant (anglophone) |","services autres","management, direction générale","débutant (de 1 à 3 ans)","bac +2","intérim","non","casablanca"
"assistante polyvalente (h/f) |","santé, pharmacie, hôpitaux, équipements médicaux","management, direction générale","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"ingénieur electricité instrumentation et automatisme h/f |","electricité, eau, gaz, nucléaire, énergie","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"pcpo leader (h/f) |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","kénitra"
"animateur hse -","métallurgie, sidérurgie","métiers du btp","junior (de 3 à 5 ans)","bac +2","intérim","non","kénitra"
"commercial.le |","marketing, communication, médias","commercial, vente","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
